Course Code,Professor,Quarter,Enrolled Count,Course Rec %,Prof Rec %,Hours/Week,Grade
,"Pomeroy, Robert S.",SP14,22,87.5%,100.0%,6.25,B- (2.77)
,"Pomeroy, Robert S.",WI14,8,100.0%,100.0%,4.50,N/A
,"Pomeroy, Robert S.",FA13,19,57.1%,85.7%,7.36,N/A
,"Pomeroy, Robert S.",SP13,29,92.3%,100.0%,5.12,B- (2.99)
,"Pomeroy, Robert S.",FA12,24,90.0%,90.0%,6.10,B- (2.86)
,"Huang, Xuemei",WI13,23,88.9%,66.7%,3.83,B (3.26)
,"Mrse, Anthony Adrian",WI13,23,100.0%,77.8%,4.28,B (3.26)
,"Pomeroy, Robert S.                 ",SP12,24,100.0%,88.9%,9.17,B- (2.76)
,"Pomeroy, Robert S.                 ",FA11,15,100.0%,100.0%,7.36,N/A
,"Pomeroy, Robert S.                 ",SP11,16,100.0%,100.0%,6.50,N/A
,"Pomeroy, Robert S.                 ",WI11,21,69.2%,84.6%,6.19,B (3.14)
,"Pomeroy, Robert S.                 ",FA10,15,100.0%,100.0%,6.00,N/A
,"Pomeroy, Robert S.                 ",SP10,15,85.7%,85.7%,7.93,N/A
,"Pomeroy, Robert S.                 ",WI10,15,83.3%,100.0%,8.83,N/A
,"Pomeroy, Robert S.                 ",SP09,26,66.7%,84.2%,8.08,B- (2.75)
,"Prather, Kimberly A                ",WI12,20,90.0%,90.0%,7.30,C (2.21)
,"Pomeroy, Robert S.            ",WI08,14,90.9%,81.8%,5.95,N/A
CHEM 100A,"Pomeroy, Robert S.",FA21,153,93.4%,94.7%,8.50,B- (3.00)
,"Pomeroy, Robert S.",WI21,149,84.7%,83.1%,10.69,B (3.12)
,"Pomeroy, Robert S.",FA20,165,79.7%,89.9%,9.22,B (3.30)
,"Pomeroy, Robert S.",SP20,65,94.4%,100.0%,9.83,B+ (3.59)
,"Pomeroy, Robert S.",FA19,140,96.4%,94.4%,7.94,B (3.04)
,"Pomeroy, Robert S.",WI19,130,81.6%,87.0%,8.85,B (3.18)
,"Pomeroy, Robert S.",SP18,87,80.6%,97.1%,9.94,B (3.04)
,"Pomeroy, Robert S.",SP16,80,69.2%,89.7%,7.83,B- (2.84)
,"Pomeroy, Robert S.",FA15,121,75.9%,81.0%,7.64,B- (3.00)
,"Pomeroy, Robert S.",FA14,88,84.8%,87.9%,8.94,B- (2.80)
,"Pomeroy, Robert S.",S114,18,100.0%,100.0%,14.10,N/A
,"Pomeroy, Robert S.",FA13,117,69.4%,85.7%,7.31,B (3.18)
,"Pomeroy, Robert S.",FA12,91,71.4%,83.3%,7.64,B (3.15)
,"Li, Shaowei",SP21,97,68.6%,71.4%,10.78,B+ (3.33)
,"Slade, Jonathan",WI20,143,86.6%,92.6%,7.73,B+ (3.64)
,"Slade, Jonathan",SP19,94,81.0%,97.6%,8.50,B+ (3.45)
,"Leigh, Brian",FA18,142,84.5%,93.1%,10.30,B (3.05)
,"Leigh, Brian",SP15,62,83.3%,83.3%,7.28,B- (2.79)
,"Pena, Ignacio Lopez",WI18,81,26.0%,24.5%,12.38,B- (2.84)
,"Pena, Ignacio Lopez",FA17,94,41.9%,60.5%,11.12,B- (2.81)
,"Tauber, Michael",SP17,82,56.8%,59.5%,11.42,B- (2.95)
,"Tauber, Michael",WI17,86,46.7%,48.9%,9.30,B- (2.92)
,"Tauber, Michael",WI16,57,67.9%,64.3%,8.29,B- (2.83)
,"Tauber, Michael",WI15,45,68.2%,45.5%,9.55,B- (2.78)
,"Shaheen, Robina",FA16,95,64.6%,12.5%,8.12,B (3.18)
,"Martz, Todd R.",SP14,73,71.4%,78.6%,7.14,B+ (3.31)
,"Lingner, David W",WI14,77,71.4%,34.3%,7.01,B- (2.94)
,"Williams, Renee T",SP13,97,61.4%,25.0%,9.95,B (3.24)
,"Williams, Renee T",WI13,108,49.2%,28.8%,8.64,B- (2.78)
,"Pomeroy, Robert S.                 ",S112,43,72.7%,90.9%,10.14,B+ (3.48)
,"Pomeroy, Robert S.                 ",FA11,89,81.3%,87.5%,7.48,B (3.01)
,"Pomeroy, Robert S.                 ",S111,38,93.3%,86.7%,9.03,B (3.05)
,"Pomeroy, Robert S.                 ",SU10,21,87.5%,87.5%,12.75,N/A
,"Pomeroy, Robert S.                 ",SU09,18,63.6%,90.9%,12.32,N/A
,"Limtiaco, John Francis Kup         ",SP12,129,77.4%,83.9%,7.32,B (3.24)
,"Limtiaco, John Francis Kup         ",WI12,125,58.9%,60.3%,8.88,B (3.16)
,"Feng, Da Fei                       ",SP11,94,58.3%,63.9%,11.30,B (3.14)
,"Feng, Da Fei                       ",WI11,76,51.3%,59.0%,13.47,B (3.16)
,"Feng, Da Fei                       ",FA10,73,52.6%,60.5%,12.04,B (3.07)
,"Feng, Da Fei                       ",SP10,88,73.5%,80.0%,10.66,B (3.20)
,"Feng, Da Fei                       ",WI10,55,61.5%,72.0%,12.96,B- (2.95)
,"Feng, Da Fei                       ",FA09,75,68.2%,80.3%,8.05,B (3.11)
,"Feng, Da Fei                       ",SP09,58,69.1%,75.0%,8.84,B- (2.93)
,"Feng, Da Fei                       ",FA08,100,77.8%,78.8%,8.74,B (3.19)
,"Feng, Da Fei",WI09,65,78.0%,81.7%,7.91,B- (2.90)
