Course Code,Professor,Enrolled Count,Course Rec %,Prof Rec %,Hours/Week,Grade
,"Hardimon, Michael O.               ",45,81.8%,90.9%,4.07,C+ (2.57)
,"Jankowiak, Tim                     ",12,60.0%,100.0%,8.10,N/A
,"Messina, James Anthony             ",19,100.0%,93.8%,4.63,N/A
,"Hardimon, Michael O.          ",32,87.5%,100.0%,3.79,C (2.09)
PHIL 32,"Edwards, Maximilian Victor",24,75.0%,75.0%,4.50,B- (2.88)
,"Rutherford, Donald Paul",66,90.3%,100.0%,5.10,B- (2.99)
,"Rutherford, Donald Paul",66,90.3%,100.0%,5.10,B- (2.99)
,"Rutherford, Donald Paul",66,90.3%,100.0%,5.10,B- (2.99)
,"Rutherford, Donald Paul",66,90.3%,100.0%,5.10,B- (2.99)
,"Rutherford, Donald Paul",66,90.3%,100.0%,5.10,B- (2.99)
,"Rutherford, Donald Paul",66,90.3%,100.0%,5.10,B- (2.99)
,"Watkins, Eric",32,90.0%,90.0%,7.10,B (3.09)
,"Watkins, Eric",32,90.0%,90.0%,7.10,B (3.09)
